Character,Sentence
CASSIUS,. And come yourselves and bring Messala with youImmediately to us.Exeunt Lucilius and Titinius.
BRUTUS,". Lucius, a bowl of wine!Exit Lucius."
CASSIUS,. I did not think you could have been so angry.
BRUTUS,". O Cassius, I am sick of many griefs."
CASSIUS,". Of your philosophy you make no use,If you give place to accidental evils."
BRUTUS,. No man bears sorrow better. Portia is dead.
CASSIUS,. Ha? Portia?
BRUTUS,. She is dead.
CASSIUS,. How 'scaped killing when I cross'd you so?O insupportable and touching loss!Upon what sickness?
BRUTUS,". Impatient of my absence,And grief that young Octavius with Mark AntonyHave made themselves so strong- for with her deathThat tidings came- with this she fell distract,And (her attendants absent) swallow'd fire."
CASSIUS,. And died so?
BRUTUS,. Even so.
CASSIUS,". O ye immortal gods!Re-enter Lucius, with wine and taper."
BRUTUS,". Speak no more of her. Give me a bowl of wine.In this I bury all unkindness, Cassius.Drinks."
CASSIUS,". My heart is thirsty for that noble pledge.Fill, Lucius, till the wine o'erswell the cup;I cannot drink too much of Brutus' love.Drinks."
BRUTUS,". Come in, Titinius!Exit Lucius.Re-enter Titinius, with Messala.Welcome, good Messala.Now sit we close about this taper here,And call in question our necessities."
CASSIUS,". Portia, art thou gone?"
BRUTUS,". No more, I pray you.Messala, I have here received lettersThat young Octavius and Mark AntonyCome down upon us with a mighty power,Bending their expedition toward Philippi."
BRUTUS,. With what addition?
BRUTUS,". There in our letters do not well agree;Mine speak of seventy senators that diedBy their proscriptions, Cicero being one."
CASSIUS,. Cicero one!
BRUTUS,". No, Messala."
BRUTUS,". Nothing, Messala."
BRUTUS,. Why ask you? Hear you aught of her in yours?
BRUTUS,". Now, as you are a Roman, tell me true."
BRUTUS,". Why, farewell, Portia. We must die, Messala.With meditating that she must die onceI have the patience to endure it now."
CASSIUS,". I have as much of this in art as you,But yet my nature could not bear it so."
BRUTUS,". Well, to our work alive. What do you thinkOf marching to Philippi presently?"
CASSIUS,. I do not think it good.
BRUTUS,. Your reason?
CASSIUS,". This it is:'Tis better that the enemy seek us;So shall he waste his means, weary his soldiers,Doing himself offense, whilst we lying stillAre full of rest, defense, and nimbleness."
BRUTUS,". Good reasons must of force give place to better.The people 'twixt Philippi and this groundDo stand but in a forced affection,For they have grudged us contribution.The enemy, marching along by them,By them shall make a fuller number up,Come on refresh'd, new-added, and encouraged;From which advantage shall we cut him offIf at Philippi we do face him there,These people at our back."
CASSIUS,". Hear me, good brother."
BRUTUS,". Under your pardon. You must note besideThat we have tried the utmost of our friends,Our legions are brim-full, our cause is ripe:The enemy increaseth every day;We, at the height, are ready to decline.There is a tide in the affairs of menWhich taken at the flood leads on to fortune;Omitted, all the voyage of their lifeIs bound in shallows and in miseries.On such a full sea are we now afloat,And we must take the current when it serves,Or lose our ventures."
CASSIUS,". Then, with your will, go on;We'll along ourselves and meet them at Philippi."
BRUTUS,". The deep of night is crept upon our talk,And nature must obey necessity,Which we will niggard with a little rest.There is no more to say?"
CASSIUS,. No more. Good night.Early tomorrow will we rise and hence.
BRUTUS,". Lucius!Re-enter Lucius.My gown.Exit Lucius.Farewell, good Messala;Good night, Titinius; noble, noble Cassius,Good night and good repose."
CASSIUS,". O my dear brother!This was an ill beginning of the night.Never come such division 'tween our souls!Let it not, Brutus."
BRUTUS,. Everything is well.
CASSIUS,". Good night, my lord."
BRUTUS,". Good night, good brother."
BRUTUS,". Farewell, everyone.Exeunt all but Brutus.Re-enter Lucius, with the gown.Give me the gown. Where is thy instrument?"
BRUTUS,". What, thou speak'st drowsily?Poor knave, I blame thee not, thou art o'erwatch'd.Call Claudio and some other of my men,I'll have them sleep on cushions in my tent."
BRUTUS,". I pray you, sirs, lie in my tent and sleep;It may be I shall raise you by and byOn business to my brother Cassius."
BRUTUS,". I would not have it so. Lie down, good sirs.It may be I shall otherwise bethink me.Look Lucius, here's the book I sought for so;I put it in the pocket of my gown.Varro and Claudio lie down."
BRUTUS,". Bear with me, good boy, I am much forgetful.Canst thou hold up thy heavy eyes awhile,And touch thy instrument a strain or two?"
BRUTUS,". It does, my boy.I trouble thee too much, but thou art willing."
BRUTUS,. I should not urge thy duty past thy might;I know young bloods look for a time of rest.
BRUTUS,". It was well done, and thou shalt sleep again;I will not hold thee long. If I do live,I will be good to thee.Music, and a song.This is a sleepy tune. O murtherous slumber,Layest thou thy leaden mace upon my boyThat plays thee music? Gentle knave, good night.I will not do thee so much wrong to wake thee.If thou dost nod, thou break'st thy instrument;I'll take it from thee; and, good boy, good night.Let me see, let me see; is not the leaf turn'd downWhere I left reading? Here it is, I think.Sits down.Enter the Ghost of Caesar.How ill this taper burns! Ha, who comes here?I think it is the weakness of mine eyesThat shapes this monstrous apparition.It comes upon me. Art thou anything?Art thou some god, some angel, or some devilThat makest my blood cold and my hair to stare?Speak to me what thou art."
BRUTUS,. Why comest thou?
BRUTUS,". Well, then I shall see thee again?"
BRUTUS,". Why, I will see thee at Philippi then.Exit Ghost.Now I have taken heart thou vanishest.Ill spirit, I would hold more talk with thee.Boy! Lucius! Varro! Claudio! Sirs, awake!Claudio!"
BRUTUS,". He thinks he still is at his instrument.Lucius, awake!"
BRUTUS,". Didst thou dream, Lucius, that thou so criedst out?"
BRUTUS,". Yes, that thou didst. Didst thou see anything?"
BRUTUS,". Sleep again, Lucius. Sirrah Claudio![To Varro.] Fellow thou, awake!"
BRUTUS,". Why did you so cry out, sirs, in your sleep?"
BRUTUS,". Ay, saw you anything?"
BRUTUS,". Go and commend me to my brother Cassius;Bid him set on his powers betimes before,And we will follow."
ANTONY,". Tut, I am in their bosoms, and I knowWherefore they do it. They could be contentTo visit other places, and come downWith fearful bravery, thinking by this faceTo fasten in our thoughts that they have courage;But 'tis not so.Enter a Messenger."
ANTONY,". Octavius, lead your battle softly on,Upon the left hand of the even field."
ANTONY,. Why do you cross me in this exigent?
BRUTUS,". They stand, and would have parley."
CASSIUS,". Stand fast, Titinius; we must out and talk."
ANTONY,". No, Caesar, we will answer on their charge.Make forth, the generals would have some words."
BRUTUS,". Words before blows. Is it so, countrymen?"
BRUTUS,". Good words are better than bad strokes, Octavius."
ANTONY,". In your bad strokes, Brutus, you give good words.Witness the hole you made in Caesar's heart,Crying ""Long live! Hail, Caesar!"""
CASSIUS,". Antony,The posture of your blows are yet unknown;But for your words, they rob the Hybla bees,And leave them honeyless."
ANTONY,. Not stingless too.
BRUTUS,". O, yes, and soundless too,For you have stol'n their buzzing, Antony,And very wisely threat before you sting."
ANTONY,". Villains! You did not so when your vile daggersHack'd one another in the sides of Caesar.You show'd your teeth like apes, and fawn'd like hounds,And bow'd like bondmen, kissing Caesar's feet;Whilst damned Casca, like a cur, behindStrooke Caesar on the neck. O you flatterers!"
CASSIUS,". Flatterers? Now, Brutus, thank yourself.This tongue had not offended so today,If Cassius might have ruled."
BRUTUS,". Caesar, thou canst not die by traitors' hands,Unless thou bring'st them with thee."
BRUTUS,". O, if thou wert the noblest of thy strain,Young man, thou couldst not die more honorable."
CASSIUS,". A peevish school boy, worthless of such honor,Join'd with a masker and a reveler!"
ANTONY,. Old Cassius still!
CASSIUS,". Why, now, blow and, swell billow, and swim bark!The storm is up, and all is on the hazard."
BRUTUS,". Ho, Lucilius! Hark, a word with you."
CASSIUS,. Messala!
CASSIUS,". Messala,This is my birthday, as this very dayWas Cassius born. Give me thy hand, Messala.Be thou my witness that, against my will,As Pompey was, am I compell'd to setUpon one battle all our liberties.You know that I held Epicurus strong,And his opinion. Now I change my mind,And partly credit things that do presage.Coming from Sardis, on our former ensignTwo mighty eagles fell, and there they perch'd,Gorging and feeding from our soldiers' hands,Who to Philippi here consorted us.This morning are they fled away and gone,And in their steads do ravens, crows, and kitesFly o'er our heads and downward look on us,As we were sickly prey. Their shadows seemA canopy most fatal, under whichOur army lies, ready to give up the ghost."
CASSIUS,". I but believe it partly,For I am fresh of spirit and resolvedTo meet all perils very constantly."
BRUTUS,". Even so, Lucilius."
CASSIUS,". Now, most noble Brutus,The gods today stand friendly that we may,Lovers in peace, lead on our days to age!But, since the affairs of men rest still incertain,Let's reason with the worst that may befall.If we do lose this battle, then is thisThe very last time we shall speak together.What are you then determined to do?"
BRUTUS,". Even by the rule of that philosophyBy which I did blame Cato for the deathWhich he did give himself- I know not how,But I do find it cowardly and vile,For fear of what might fall, so to preventThe time of life- arming myself with patienceTo stay the providence of some high powersThat govern us below."
CASSIUS,". Then, if we lose this battle,You are contented to be led in triumphThorough the streets of Rome?"
BRUTUS,". No, Cassius, no. Think not, thou noble Roman,That ever Brutus will go bound to Rome;He bears too great a mind. But this same dayMust end that work the ides of March begun.And whether we shall meet again I know not.Therefore our everlasting farewell take.Forever, and forever, farewell, Cassius!If we do meet again, why, we shall smile;If not, why then this parting was well made."
CASSIUS,". Forever and forever farewell, Brutus!If we do meet again, we'll smile indeed;If not, 'tis true this parting was well made."
BRUTUS,". Why then, lead on. O, that a man might knowThe end of this day's business ere it come!But it sufficeth that the day will end,And then the end is known. Come, ho! Away!Exeunt."
BRUTUS,". Ride, ride, Messala, ride, and give these billsUnto the legions on the other side.Loud alarum.Let them set on at once, for I perceiveBut cold demeanor in Octavia's wing,And sudden push gives them the overthrow.Ride, ride, Messala. Let them all come down.Exeunt."
CASSIUS,". O, look, Titinius, look, the villains fly!Myself have to mine own turn'd enemy.This ensign here of mine was turning back;I slew the coward, and did take it from him."
CASSIUS,". This hill is far enough. Look, look, Titinius:Are those my tents where I perceive the fire?"
CASSIUS,". Titinius, if thou lovest me,Mount thou my horse and hide thy spurs in him,Till he have brought thee up to yonder troopsAnd here again, that I may rest assuredWhether yond troops are friend or enemy."
CASSIUS,". Go, Pindarus, get higher on that hill;My sight was ever thick; regard Titinius,And tell me what thou notest about the field.Pindarus ascends the hill.This day I breathed first: time is come round,And where I did begin, there shall I end;My life is run his compass. Sirrah, what news?"
CASSIUS,. What news?
CASSIUS,". Come down; behold no more.O, coward that I am, to live so long,To see my best friend ta'en before my face!Pindarus descends.Come hither, sirrah.In Parthia did I take thee prisoner,And then I swore thee, saving of thy life,That whatsoever I did bid thee do,Thou shouldst attempt it. Come now, keep thine oath;Now be a freeman, and with this good sword,That ran through Caesar's bowels, search this bosom.Stand not to answer: here, take thou the hilts;And when my face is cover'd, as 'tis now,Guide thou the sword. [Pindarus stabs him.] Caesar, thou artrevenged,Even with the sword that kill'd thee.Dies."
BRUTUS,". Where, where, Messala, doth his body lie?"
BRUTUS,. Titinius' face is upward.
BRUTUS,". O Julius Caesar, thou art mighty yet!Thy spirit walks abroad, and turns our swordsIn our own proper entrails.Low alarums."
BRUTUS,". Are yet two Romans living such as these?The last of all the Romans, fare thee well!It is impossible that ever RomeShould breed thy fellow. Friends, I owe moe tearsTo this dead man than you shall see me pay.I shall find time, Cassius, I shall find time.Come therefore, and to Thasos send his body;His funerals shall not be in our camp,Lest it discomfort us. Lucilius, come,And come, young Cato; let us to the field.Labio and Flavio, set our battles on.'Tis three o'clock, and Romans, yet ere nightWe shall try fortune in a second fight.Exeunt."
BRUTUS,". Yet, countrymen, O, yet hold up your heads!"
BRUTUS,". And I am Brutus, Marcus Brutus, I;Brutus, my country's friend; know me for Brutus!Exit."
ANTONY,. Where is he?
ANTONY,". This is not Brutus, friend, but, I assure you,A prize no less in worth. Keep this man safe,Give him all kindness; I had rather haveSuch men my friends than enemies. Go on,And see wheer Brutus be alive or dead,And bring us word unto Octavius' tentHow everything is chanced.Exeunt."
BRUTUS,". Come, poor remains of friends, rest on this rock."
BRUTUS,". Sit thee down, Clitus. Slaying is the word:It is a deed in fashion. Hark thee, Clitus.Whispers."
BRUTUS,". Peace then, no words."
BRUTUS,". Hark thee, Dardanius.Whispers."
BRUTUS,". Come hither, good Volumnius, list a word."
BRUTUS,". Why, this, Volumnius:The ghost of Caesar hath appear'd to meTwo several times by night; at Sardis once,And this last night here in Philippi fields.I know my hour is come."
BRUTUS,". Nay I am sure it is, Volumnius.Thou seest the world, Volumnius, how it goes;Our enemies have beat us to the pit;Low alarums.It is more worthy to leap in ourselvesThan tarry till they push us. Good Volumnius,Thou know'st that we two went to school together;Even for that our love of old, I prithee,Hold thou my sword-hilts, whilst I run on it."
BRUTUS,". Farewell to you, and you, and you, Volumnius.Strato, thou hast been all this while asleep;Farewell to thee too, Strato. Countrymen,My heart doth joy that yet in all my lifeI found no man but he was true to me.I shall have glory by this losing day,More than Octavius and Mark AntonyBy this vile conquest shall attain unto.So, fare you well at once, for Brutus' tongueHath almost ended his life's history.Night hangs upon mine eyes, my bones would restThat have but labor'd to attain this hour.Alarum. Cry within, ""Fly, fly, fly!"""
BRUTUS,". Hence! I will follow.Exeunt Clitus, Dardanius, and Volumnius.I prithee, Strato, stay thou by thy lord.Thou art a fellow of a good respect;Thy life hath had some smatch of honor in it.Hold then my sword, and turn away thy face,While I do run upon it. Wilt thou, Strato?"
BRUTUS,". Farewell, good Strato.Runs on his sword.Caesar, now be still;I kill'd not thee with half so good a will.Dies.Alarum. Retreat. Enter Octavius, Antony, Messala,Lucilius, and the Army."
ANTONY,". This was the noblest Roman of them all.All the conspirators, save only he,Did that they did in envy of great Caesar;He only, in a general honest thoughtAnd common good to all, made one of them.His life was gentle, and the elementsSo mix'd in him that Nature might stand upAnd say to all the world, ""This was a man!"""
